0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,-0.106,-0.542,-0.809,-1.076,-1.343,-1.705,-2.203,-2.701,-3.2,-3.698,-4.196,-4.695,-5.193,-5.662,-6.084,-6.507,-6.929,-7.352,-7.774,-8.196,-8.619,-8.986,-9.31,-9.635,-9.96,-10.285,-10.61,-10.935,-11.252,-11.532,-11.813,-12.093,-12.373,-12.654,-12.934,-13.214,-13.492,-13.768,-14.045,-14.321,-14.597,-14.874,-15.15,-15.428,-15.718,-16.008,-16.299,-16.589,-16.88,-17.17,-17.46,-17.663,-17.454,-17.245,-17.036,-16.827,-16.618,-16.409,-16.2,-15.973,-15.322,-14.67,-14.018,-13.367,-12.715,-12.064,-11.412,-10.761,-9.46,-8.094,-6.727,-5.36,-3.994,-2.627,-1.261,0.045,0.191,0.337,0.483,1.686,3.267,6.004,7.394,7.95,7.665,7.379,7.094
-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.906,-4.342,-4.609,-4.876,-5.143,-5.505,-6.003,-6.501,-7,-7.498,-7.996,-8.495,-8.993,-9.462,-9.884,-10.307,-10.729,-11.152,-11.574,-11.996,-12.419,-12.786,-13.11,-13.435,-13.76,-14.085,-14.41,-14.735,-15.052,-15.332,-15.613,-15.893,-16.173,-16.454,-16.734,-17.014,-17.292,-17.568,-17.845,-18.121,-18.397,-18.674,-18.95,-19.228,-19.518,-19.808,-20.099,-20.389,-20.68,-20.97,-21.26,-21.463,-21.254,-21.045,-20.836,-20.627,-20.418,-20.209,-20,-19.773,-19.122,-18.47,-17.818,-17.167,-16.515,-15.864,-15.212,-14.561,-13.26,-11.894,-10.527,-9.16,-7.794,-6.427,-5.061,-3.755,-3.609,-3.463,-3.317,-2.114,-0.533,2.204,3.594,4.15,3.865,3.579,3.294
-7.98,-7.98,-7.98,-7.98,-7.98,-7.98,-7.98,-7.98,-7.98,-7.98,-7.98,-7.98,-8.086,-8.522,-8.789,-9.056,-9.323,-9.685,-10.183,-10.681,-11.18,-11.678,-12.176,-12.675,-13.173,-13.642,-14.064,-14.487,-14.909,-15.332,-15.754,-16.176,-16.599,-16.966,-17.29,-17.615,-17.94,-18.265,-18.59,-18.915,-19.232,-19.512,-19.793,-20.073,-20.353,-20.634,-20.914,-21.194,-21.472,-21.748,-22.025,-22.301,-22.577,-22.854,-23.13,-23.408,-23.698,-23.988,-24.279,-24.569,-24.86,-25.15,-25.44,-25.643,-25.434,-25.225,-25.016,-24.807,-24.598,-24.389,-24.18,-23.953,-23.302,-22.65,-21.998,-21.347,-20.695,-20.044,-19.392,-18.741,-17.44,-16.074,-14.707,-13.34,-11.974,-10.607,-9.241,-7.935,-7.789,-7.643,-7.497,-6.294,-4.713,-1.976,-0.586,-0.03,-0.315,-0.601000000000001,-0.886
-12.578,-12.578,-12.578,-12.578,-12.578,-12.578,-12.578,-12.578,-12.578,-12.578,-12.578,-12.578,-12.684,-13.12,-13.387,-13.654,-13.921,-14.283,-14.781,-15.279,-15.778,-16.276,-16.774,-17.273,-17.771,-18.24,-18.662,-19.085,-19.507,-19.93,-20.352,-20.774,-21.197,-21.564,-21.888,-22.213,-22.538,-22.863,-23.188,-23.513,-23.83,-24.11,-24.391,-24.671,-24.951,-25.232,-25.512,-25.792,-26.07,-26.346,-26.623,-26.899,-27.175,-27.452,-27.728,-28.006,-28.296,-28.586,-28.877,-29.167,-29.458,-29.748,-30.038,-30.241,-30.032,-29.823,-29.614,-29.405,-29.196,-28.987,-28.778,-28.551,-27.9,-27.248,-26.596,-25.945,-25.293,-24.642,-23.99,-23.339,-22.038,-20.672,-19.305,-17.938,-16.572,-15.205,-13.839,-12.533,-12.387,-12.241,-12.095,-10.892,-9.311,-6.574,-5.184,-4.628,-4.913,-5.199,-5.484
-17.636,-17.636,-17.636,-17.636,-17.636,-17.636,-17.636,-17.636,-17.636,-17.636,-17.636,-17.636,-17.742,-18.178,-18.445,-18.712,-18.979,-19.341,-19.839,-20.337,-20.836,-21.334,-21.832,-22.331,-22.829,-23.298,-23.72,-24.143,-24.565,-24.988,-25.41,-25.832,-26.255,-26.622,-26.946,-27.271,-27.596,-27.921,-28.246,-28.571,-28.888,-29.168,-29.449,-29.729,-30.009,-30.29,-30.57,-30.85,-31.128,-31.404,-31.681,-31.957,-32.233,-32.51,-32.786,-33.064,-33.354,-33.644,-33.935,-34.225,-34.516,-34.806,-35.096,-35.299,-35.09,-34.881,-34.672,-34.463,-34.254,-34.045,-33.836,-33.609,-32.958,-32.306,-31.654,-31.003,-30.351,-29.7,-29.048,-28.397,-27.096,-25.73,-24.363,-22.996,-21.63,-20.263,-18.897,-17.591,-17.445,-17.299,-17.153,-15.95,-14.369,-11.632,-10.242,-9.686,-9.971,-10.257,-10.542
-23.199,-23.199,-23.199,-23.199,-23.199,-23.199,-23.199,-23.199,-23.199,-23.199,-23.199,-23.199,-23.305,-23.741,-24.008,-24.275,-24.542,-24.904,-25.402,-25.9,-26.399,-26.897,-27.395,-27.894,-28.392,-28.861,-29.283,-29.706,-30.128,-30.551,-30.973,-31.395,-31.818,-32.185,-32.509,-32.834,-33.159,-33.484,-33.809,-34.134,-34.451,-34.731,-35.012,-35.292,-35.572,-35.853,-36.133,-36.413,-36.691,-36.967,-37.244,-37.52,-37.796,-38.073,-38.349,-38.627,-38.917,-39.207,-39.498,-39.788,-40.079,-40.369,-40.659,-40.862,-40.653,-40.444,-40.235,-40.026,-39.817,-39.608,-39.399,-39.172,-38.521,-37.869,-37.217,-36.566,-35.914,-35.263,-34.611,-33.96,-32.659,-31.293,-29.926,-28.559,-27.193,-25.826,-24.46,-23.154,-23.008,-22.862,-22.716,-21.513,-19.932,-17.195,-15.805,-15.249,-15.534,-15.82,-16.105
-29.319,-29.319,-29.319,-29.319,-29.319,-29.319,-29.319,-29.319,-29.319,-29.319,-29.319,-29.319,-29.425,-29.861,-30.128,-30.395,-30.662,-31.024,-31.522,-32.02,-32.519,-33.017,-33.515,-34.014,-34.512,-34.981,-35.403,-35.826,-36.248,-36.671,-37.093,-37.515,-37.938,-38.305,-38.629,-38.954,-39.279,-39.604,-39.929,-40.254,-40.571,-40.851,-41.132,-41.412,-41.692,-41.973,-42.253,-42.533,-42.811,-43.087,-43.364,-43.64,-43.916,-44.193,-44.469,-44.747,-45.037,-45.327,-45.618,-45.908,-46.199,-46.489,-46.779,-46.982,-46.773,-46.564,-46.355,-46.146,-45.937,-45.728,-45.519,-45.292,-44.641,-43.989,-43.337,-42.686,-42.034,-41.383,-40.731,-40.08,-38.779,-37.413,-36.046,-34.679,-33.313,-31.946,-30.58,-29.274,-29.128,-28.982,-28.836,-27.633,-26.052,-23.315,-21.925,-21.369,-21.654,-21.94,-22.225
-36.051,-36.051,-36.051,-36.051,-36.051,-36.051,-36.051,-36.051,-36.051,-36.051,-36.051,-36.051,-36.157,-36.593,-36.86,-37.127,-37.394,-37.756,-38.254,-38.752,-39.251,-39.749,-40.247,-40.746,-41.244,-41.713,-42.135,-42.558,-42.98,-43.403,-43.825,-44.247,-44.67,-45.037,-45.361,-45.686,-46.011,-46.336,-46.661,-46.986,-47.303,-47.583,-47.864,-48.144,-48.424,-48.705,-48.985,-49.265,-49.543,-49.819,-50.096,-50.372,-50.648,-50.925,-51.201,-51.479,-51.769,-52.059,-52.35,-52.64,-52.931,-53.221,-53.511,-53.714,-53.505,-53.296,-53.087,-52.878,-52.669,-52.46,-52.251,-52.024,-51.373,-50.721,-50.069,-49.418,-48.766,-48.115,-47.463,-46.812,-45.511,-44.145,-42.778,-41.411,-40.045,-38.678,-37.312,-36.006,-35.86,-35.714,-35.568,-34.365,-32.784,-30.047,-28.657,-28.101,-28.386,-28.672,-28.957
-43.456,-43.456,-43.456,-43.456,-43.456,-43.456,-43.456,-43.456,-43.456,-43.456,-43.456,-43.456,-43.562,-43.998,-44.265,-44.532,-44.799,-45.161,-45.659,-46.157,-46.656,-47.154,-47.652,-48.151,-48.649,-49.118,-49.54,-49.963,-50.385,-50.808,-51.23,-51.652,-52.075,-52.442,-52.766,-53.091,-53.416,-53.741,-54.066,-54.391,-54.708,-54.988,-55.269,-55.549,-55.829,-56.11,-56.39,-56.67,-56.948,-57.224,-57.501,-57.777,-58.053,-58.33,-58.606,-58.884,-59.174,-59.464,-59.755,-60.045,-60.336,-60.626,-60.916,-61.119,-60.91,-60.701,-60.492,-60.283,-60.074,-59.865,-59.656,-59.429,-58.778,-58.126,-57.474,-56.823,-56.171,-55.52,-54.868,-54.217,-52.916,-51.55,-50.183,-48.816,-47.45,-46.083,-44.717,-43.411,-43.265,-43.119,-42.973,-41.77,-40.189,-37.452,-36.062,-35.506,-35.791,-36.077,-36.362
