Distance (m),Waterdepth (m)
0.0,2.0
23.436,2.43
45.189,2.45
70.037,2.57
91.878,3.1
117.61,4.55
142.46,6.0
168.19,5.97
196.8,5.38
227.4,2.91
253.01,2.07
280.85,1.89
303.97,1.87
328.48,1.7
355.61,1.54
383.27,1.26
407.62,1.23
431.27,1.19
454.59,1.13
478.39,1.0
496.98,0.91
519.94,0.99
539.0,0.87
