Distance,Waterdepth
0.0,0.0
8.63087162162162,-0.633
17.26174324324324,-1.1
25.89261486486486,-1.1
34.52348648648648,-1.1
43.154358108108106,-1.1
51.78522972972972,-1.1
60.416101351351344,-1.1
69.04697297297297,-1.1
77.67784459459459,-1.1
86.30871621621621,-1.1
94.93958783783783,-1.1
103.57045945945944,-1.1
112.20133108108107,-1.1
120.83220270270269,-1.1
129.4630743243243,-1.1
138.09394594594593,-1.1
146.72481756756756,-1.1
155.35568918918918,-1.121
163.9865608108108,-1.166
172.61743243243242,-1.3
181.24830405405405,-1.375
189.87917567567567,-1.4
198.5100472972973,-1.7
207.14091891891889,-1.504
215.7717905405405,-1.681
224.40266216216213,-1.76
233.03353378378375,-1.8
241.66440540540538,-1.945
250.295277027027,-1.9
258.9261486486486,-1.996
267.55702027027024,-2.0
276.18789189189187,-2.02
284.8187635135135,-2.282
293.4496351351351,-2.011
302.08050675675673,-2.1
310.71137837837836,-2.271
319.34225,-2.383
327.9731216216216,-2.697
336.6039932432432,-2.87
345.23486486486485,-2.794
353.86573648648647,-2.978
362.4966081081081,-2.8
371.1274797297297,-2.653
379.75835135135134,-2.907
388.38922297297296,-2.815
397.0200945945946,-2.899
405.6509662162162,-2.616
414.28183783783777,-2.932
422.9127094594594,-3.048
431.543581081081,-3.591
440.17445270270264,-4.659
448.80532432432426,-4.505
457.4361959459459,-4.667
466.0670675675675,-4.407
474.6979391891891,-4.515
483.32881081081075,-4.184
491.9596824324324,-3.926
500.590554054054,-3.9
509.2214256756756,-3.994
517.8522972972972,-4.043
526.4831689189189,-4.226
535.1140405405405,-4.1
543.7449121621621,-3.926
552.3757837837837,-3.9
561.0066554054054,-4.1
569.637527027027,-3.984
578.2683986486486,-3.768
586.8992702702702,-3.753
595.5301418918918,-4.363
604.1610135135135,-4.279
612.7918851351351,-4.4
621.4227567567567,-4.889
630.0536283783783,-4.674
638.6845,-4.358
647.3153716216216,-4.516
655.9462432432432,-4.626
664.5771148648648,-4.6
673.2079864864864,-5.416
681.8388581081081,-5.658
690.4697297297297,-5.363
699.1006013513513,-5.147
707.7314729729729,-5.268
716.3623445945946,-5.2
724.9932162162162,-5.225
733.6240878378378,-5.341
742.2549594594594,-5.144
750.885831081081,-5.0
759.5167027027027,-5.652
768.1475743243243,-5.971
776.7784459459459,-6.133
785.4093175675675,-6.34
794.0401891891892,-6.2
802.6710608108108,-6.1
811.3019324324324,-6.1
819.932804054054,-6.023
828.5636756756755,-6.1
837.1945472972972,-6.1
845.8254189189188,-6.171
854.4562905405404,-6.114
863.087162162162,-6.098
871.7180337837837,-5.964
880.3489054054053,-5.767
888.9797770270269,-6.447
897.6106486486485,-6.931
906.2415202702701,-7.362
914.8723918918918,-7.697
923.5032635135134,-8.113
932.134135135135,-8.357
940.7650067567566,-8.832
949.3958783783783,-8.94
958.0267499999999,-8.7
966.6576216216215,-8.791
975.2884932432431,-8.907
983.9193648648647,-9.2
992.5502364864864,-9.464
1001.181108108108,-9.859
1009.8119797297296,-10.195
1018.4428513513512,-10.611
1027.073722972973,-10.952
1035.7045945945945,-11.268
1044.3354662162162,-11.667
1052.9663378378377,-11.9
1061.5972094594595,-12.0
1070.228081081081,-12.0
1078.8589527027027,-12.1
1087.4898243243242,-12.1
1096.120695945946,-12.178
1104.7515675675675,-12.294
1113.382439189189,-12.592
1122.0133108108107,-12.951
1130.6441824324322,-12.918
1139.275054054054,-13.307
1147.9059256756755,-13.523
1156.5367972972972,-13.902
1165.1676689189187,-14.183
1173.7985405405404,-14.52
1182.429412162162,-14.871
1191.0602837837837,-15.103
1199.6911554054052,-15.323
1208.322027027027,-15.458
1216.9528986486484,-15.402
1225.5837702702702,-14.455
1234.2146418918917,-12.852
1242.8455135135134,-9.831
1251.476385135135,-4.562
1260.1072567567567,-2.189
1268.7381283783782,-2.0
1277.369,-1.9
