,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
,,,,,,,,,,,,,,,531.56,507.217,499.518,512.601,551.289,625.178,692.863,759.113,800.649,916.084,1076.192,1179.262,1223.786,1223.241,1227.577,1211.097,1189.522,1123.876,1010.755,829.293,710.139,579.692,485.787,428.046,417.595,364.686,346.418,341.489,347.148,332.8,311.495,280.129,252.208,201.805,202.897,204.344,183.306,161.515,154.839,143.574,148.499,174.719,203.073,166.931,99.239,88.323,107.802,142.953,152.581,159.721,161.524,132.9,112.535,121.381,133.384,138.6,124.7,118.797,133.467,163.325,131.479,129.331,134.308,143.465,149.016,158.489,159.842,151.587,150.199,162.438,177.65,167.233,156.269,149.029,146.702,146.904,149.965,161.645,162.387,151.961,143.797,147.975,153.395,159.706,163.309,162.3,167.004,172.214,183.62,187.593,190.394,196.715,199.972,193.829,189.789,191.826,194.381,203.232,209.99,216.069,217.421,208.999,206.977,217.465,229.587,241.022,238.344,228.281,225.721,235.315,245.188,249.11,245.247,242.634,236.044,235.615,246.91,261.994,273.186,272.134,265.359,262.979,269.257,269.678,261.366,252.119,243.467,236.311,227.115,203.266,184.681,,,
,,,,,,,,,,,,,,,1140.241,1014.999,1014.999,1113.072,1113.072,1577.123,1577.123,2116.115,2116.115,3055.479,3055.479,3848.952,3848.952,3806.959,3806.959,3573.804,3573.804,2917.289,2917.289,1691.509,1691.509,848.89,848.89,563.421,563.421,463.174,463.174,410.154,410.154,321.577,321.577,210.177,210.177,139.036,139.036,160.112,160.112,142.865,142.865,123.575,123.575,157.855,157.855,101.212,101.212,71.165,71.165,98.132,98.132,105.876,105.876,63.821,63.821,47.977,47.977,54.219,54.219,41.12,41.12,46.054,46.054,46.144,46.144,55.2,55.2,64.941,64.941,60.256,60.256,73.712,73.712,69.818,69.818,68.003,68.003,65.027,65.027,73.201,73.201,67.106,67.106,68.484,68.484,75.452,75.452,78.334,78.334,82.816,82.816,93.416,93.416,98.679,98.679,96.613,96.613,104.23,104.23,115.71,115.71,124.022,124.022,117.916,117.916,132.889,132.889,152.682,152.682,140.209,140.209,149.806,149.806,154.587,154.587,147.942,147.942,157.278,157.278,188.077,188.077,178.597,178.597,177.764,177.764,184.297,184.297,169.202,169.202,160.709,160.709,121.153,121.153,,,
,,,,,,,,,,,,,,,2850.879,2772.35,2772.35,3196.065,3196.065,4655.329,4655.329,6809.796,6809.796,9735.205,9735.205,11142.733,11142.733,10111.98,10111.98,8596.259,8596.259,6215.521,6215.521,3182.697,3182.697,1314.6,1314.6,761.419,761.419,630.228,630.228,472.368,472.368,284.061,284.061,152.871,152.871,120.508,120.508,192.736,192.736,239.517,239.517,222.425,222.425,246.126,246.126,187.638,187.638,134.426,134.426,116.966,116.966,94.987,94.987,42.598,42.598,20.551,20.551,25.476,25.476,19.104,19.104,20.037,20.037,19.816,19.816,22.534,22.534,26.468,26.468,26.214,26.214,34.633,34.633,34.687,34.687,35.757,35.757,31.923,31.923,34.357,34.357,33.263,33.263,34.318,34.318,36.825,36.825,37.088,37.088,35.799,35.799,38.581,38.581,40.101,40.101,44.224,44.224,51.654,51.654,58.356,58.356,63.026,63.026,62.831,62.831,71.473,71.473,83.498,83.498,78.201,78.201,77.584,77.584,77.395,77.395,78.289,78.289,88.382,88.382,101.566,101.566,88.99,88.99,88.488,88.488,97.326,97.326,100.421,100.421,104.311,104.311,81.916,,,,
,,,,,,,,,,,,,,,5077.898,5609.059,5609.059,6766.342,6766.342,9657.635,9657.635,13925.39,13925.39,18181.578,18181.578,18546.766,18546.766,15349.909,15349.909,11976.315,11976.315,7972.533,7972.533,4064.881,4064.881,1679.456,1679.456,937.823,937.823,725.197,725.197,490.443,490.443,264.742,264.742,146.552,146.552,147.241,147.241,279.743,279.743,436.133,436.133,459.889,459.889,479.032,479.032,410.514,410.514,286.228,286.228,181.763,181.763,108.202,108.202,42.653,42.653,17.712,17.712,22.514,22.514,20.842,20.842,21.264,21.264,20.707,20.707,21.48,21.48,23.46,23.46,24.779,24.779,31.707,31.707,33.064,33.064,33.379,33.379,29.093,29.093,29.543,29.543,29.146,29.146,29.953,29.953,31.267,31.267,29.949,29.949,26.906,26.906,26.877,26.877,27.819,27.819,33.082,33.082,39.714,39.714,45.173,45.173,49.257,49.257,51.12,51.12,57.063,57.063,65.016,65.016,62.62,62.62,59.024,59.024,56.878,56.878,58.974,58.974,65.359,65.359,67.568,67.568,56.617,56.617,56.052,56.052,65.241,65.241,77.216,77.216,87.679,87.679,,,,,
,,,,,,,,,,,,,,,7002.544,8789.781,8789.781,10917.545,10917.545,15164.441,15164.441,20342.326,20342.326,23831.447,23831.447,22274.53,22274.53,17020.791,17020.791,12714.924,12714.924,8006.424,8006.424,4407.34,4407.34,1956.799,1956.799,1135.787,1135.787,801.266,801.266,527.044,527.044,289.056,289.056,185.071,185.071,215.674,215.674,403.761,403.761,686.582,686.582,789.15,789.15,805.2,805.2,704.356,704.356,457.655,457.655,257.732,257.732,124.495,124.495,52.877,52.877,23.637,23.637,29.159,29.159,33.316,33.316,35.009,35.009,34.613,34.613,34.318,34.318,35.227,35.227,37.633,37.633,44.265,44.265,45.747,45.747,43.545,43.545,38.09,38.09,36.634,36.634,35.908,35.908,36.455,36.455,37.294,37.294,34.671,34.671,30.595,30.595,29.281,29.281,30.381,30.381,36.58,36.58,43.245,43.245,49.308,49.308,53.869,53.869,57.201,57.201,62.091,62.091,68.579,68.579,67.517,67.517,62.841,62.841,59.439,59.439,60.192,60.192,62.604,62.604,58.286,58.286,48.658,48.658,48.329,48.329,57.887,57.887,75.071,75.071,89.396,,,,,,
,,,,,,,,,,,,,,,7755.013,11273.29,11273.29,13633.105,13633.105,18866.142,18866.142,22558.757,22558.757,24025.61,24025.61,21886.292,21886.292,15425.599,15425.599,12051.285,12051.285,6991.577,6991.577,4617.594,4617.594,2119.188,2119.188,1427.444,1427.444,891.902,891.902,641.104,641.104,366.133,366.133,284.43,284.43,345.969,345.969,528.132,528.132,894.381,894.381,1020.648,1020.648,1001.209,1001.209,876.134,876.134,506.134,506.134,315.782,315.782,131.567,131.567,74.914,74.914,39.101,39.101,44.729,44.729,58.67,58.67,63.248,63.248,65.86,65.86,65.376,65.376,65.755,65.755,68.437,68.437,73.659,73.659,73.68,73.68,65.491,65.491,59.172,59.172,53.961,53.961,52.595,52.595,52.377,52.377,52.76,52.76,48.801,48.801,44.747,44.747,42.647,42.647,44.018,44.018,52.182,52.182,58.386,58.386,67.023,67.023,71.697,71.697,77.469,77.469,81.37,81.37,87.941,87.941,87.768,87.768,82.191,82.191,78.239,78.239,75.155,75.155,73.914,73.914,63.509,63.509,55.839,55.839,55.986,55.986,64.67,64.67,87.574,87.574,,,,,,,
,,,,,,,,,,,,,,,6744.349,12972.188,12972.188,12972.188,12972.188,20011.42,20011.42,20011.42,20011.42,20139.167,20139.167,20139.167,20139.167,12004.525,12004.525,12004.525,12004.525,5336.19,5336.19,5336.19,5336.19,1966.065,1966.065,1966.065,1966.065,900.58,900.58,900.58,900.58,455.998,455.998,455.998,455.998,558.703,558.703,558.703,558.703,1004.098,1004.098,1004.098,1004.098,904.109,904.109,904.109,904.109,391.032,391.032,391.032,391.032,117.311,117.311,117.311,117.311,63.906,63.906,63.906,63.906,95.003,95.003,95.003,95.003,109.089,109.089,109.089,109.089,112.293,112.293,112.293,112.293,113.48,113.48,113.48,113.48,92.429,92.429,92.429,92.429,78.068,78.068,78.068,78.068,75.336,75.336,75.336,75.336,68.95,68.95,68.95,68.95,66.15,66.15,66.15,66.15,79.878,79.878,79.878,79.878,96.312,96.312,96.312,96.312,108.458,108.458,108.458,108.458,117.418,117.418,117.418,117.418,109.292,109.292,109.292,109.292,97.046,97.046,97.046,97.046,76.584,76.584,76.584,76.584,77.578,77.578,77.578,77.578,113.09,,,,,,,,
,,,,,,,,,,,,,,,6208.733,11602.312,11602.312,11602.312,11602.312,16043.626,16043.626,16043.626,16043.626,14921.084,14921.084,14921.084,14921.084,9540.071,9540.071,9540.071,9540.071,4765.544,4765.544,4765.544,4765.544,2298.845,2298.845,2298.845,2298.845,1199.238,1199.238,1199.238,1199.238,726.473,726.473,726.473,726.473,747.879,747.879,747.879,747.879,996.572,996.572,996.572,996.572,763.191,763.191,763.191,763.191,361.062,361.062,361.062,361.062,142.434,142.434,142.434,142.434,111.73,111.73,111.73,111.73,184.481,184.481,184.481,184.481,232.064,232.064,232.064,232.064,247.156,247.156,247.156,247.156,231.865,231.865,231.865,231.865,184.258,184.258,184.258,184.258,157.508,157.508,157.508,157.508,150.852,150.852,150.852,150.852,144.495,144.495,144.495,144.495,143.778,143.778,143.778,143.778,161.078,161.078,161.078,161.078,180.932,180.932,180.932,180.932,196.339,196.339,196.339,196.339,208.764,208.764,208.764,208.764,199.202,199.202,199.202,199.202,169.896,169.896,169.896,169.896,135.088,135.088,135.088,135.088,131.021,131.021,131.021,131.021,,,,,,,,,
