0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.119,-1.2,-1.2,-1.2,-1.2,-1.2,-1.279,-1.3,-1.3,-1.358,-1.348,-1.345,-1.438,-1.458,-1.466,-1.432,-1.461,-1.5,-1.5,-1.54,-1.634,-1.781,-2.06,-2.327,-2.546,-3.198,-4.502,-5.72,-6.456,-7.036,-7.332,-7.695,-8.214,-8.773,-9.216,-9.528,-9.951,-10.473,-10.8,-10.81,-10.996,-11.274,-11.384,-11.478,-11.783,-11.964,-12.057,-12.201,-12.431,-12.674,-12.8,-12.847,-13.017,-13.11,-13.206,-13.392,-13.311,-13.565,-13.751,-13.888,-14.037,-14.161,-14.324,-14.434,-14.62,-14.803,-14.897,-14.99,-15.083,-15.1,-15.169,-15.2,-15.2,-15.2,-15.2,-15.164,-15.1,-15.122,-15.2,-15.2,-15.2,-15.2,-15.112,-15.035,-15,-14.986,-14.911,-14.821,-14.655,-14.469,-14.341,-14.196,-13.919,-13.623,-13.373,-13.025,-12.764,-12.573,-12.349,-12.155,-11.968,-12.137,-12.132,-11.818,-11.445,-11.236,-11.049,-11,-11,-11,-11,-10.967,-10.752,-10.3,-10.3,-10.3,-10.254,-10.2,-10.2,-10.212,-10.316,-10.595,-10.692,-10.785,-10.644,-10.6,-10.6,-10.633,-10.674,-10.6,-10.625,-10.8,-10.8,-10.8,-10.629,-10.443,-10.343,-10.22,-9.967,-9.647,-9.48,-9.387,-9.294,-9.201,-9.108,-9.357,-9.479,-9.5,-9.239,-8.933,-8.8,-8.8,-8.888,-8.981,-8.851,-8.746,-8.7,-8.788,-9.045,-9.169,-9,-9,-9,-8.938,-8.793
-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.919,-5,-5,-5,-5,-5,-5.079,-5.1,-5.1,-5.158,-5.148,-5.145,-5.238,-5.258,-5.266,-5.232,-5.261,-5.3,-5.3,-5.34,-5.434,-5.581,-5.86,-6.127,-6.346,-6.998,-8.302,-9.52,-10.256,-10.836,-11.132,-11.495,-12.014,-12.573,-13.016,-13.328,-13.751,-14.273,-14.6,-14.61,-14.796,-15.074,-15.184,-15.278,-15.583,-15.764,-15.857,-16.001,-16.231,-16.474,-16.6,-16.647,-16.817,-16.91,-17.006,-17.192,-17.111,-17.365,-17.551,-17.688,-17.837,-17.961,-18.124,-18.234,-18.42,-18.603,-18.697,-18.79,-18.883,-18.9,-18.969,-19,-19,-19,-19,-18.964,-18.9,-18.922,-19,-19,-19,-19,-18.912,-18.835,-18.8,-18.786,-18.711,-18.621,-18.455,-18.269,-18.141,-17.996,-17.719,-17.423,-17.173,-16.825,-16.564,-16.373,-16.149,-15.955,-15.768,-15.937,-15.932,-15.618,-15.245,-15.036,-14.849,-14.8,-14.8,-14.8,-14.8,-14.767,-14.552,-14.1,-14.1,-14.1,-14.054,-14,-14,-14.012,-14.116,-14.395,-14.492,-14.585,-14.444,-14.4,-14.4,-14.433,-14.474,-14.4,-14.425,-14.6,-14.6,-14.6,-14.429,-14.243,-14.143,-14.02,-13.767,-13.447,-13.28,-13.187,-13.094,-13.001,-12.908,-13.157,-13.279,-13.3,-13.039,-12.733,-12.6,-12.6,-12.688,-12.781,-12.651,-12.546,-12.5,-12.588,-12.845,-12.969,-12.8,-12.8,-12.8,-12.738,-12.593
-9.08,-9.08,-9.08,-9.08,-9.08,-9.08,-9.08,-9.08,-9.08,-9.08,-9.08,-9.08,-9.08,-9.08,-9.08,-9.08,-9.08,-9.08,-9.08,-9.08,-9.08,-9.08,-9.08,-9.08,-9.08,-9.08,-9.08,-9.08,-9.08,-9.08,-9.08,-9.08,-9.08,-9.08,-9.099,-9.18,-9.18,-9.18,-9.18,-9.18,-9.259,-9.28,-9.28,-9.338,-9.328,-9.325,-9.418,-9.438,-9.446,-9.412,-9.441,-9.48,-9.48,-9.52,-9.614,-9.761,-10.04,-10.307,-10.526,-11.178,-12.482,-13.7,-14.436,-15.016,-15.312,-15.675,-16.194,-16.753,-17.196,-17.508,-17.931,-18.453,-18.78,-18.79,-18.976,-19.254,-19.364,-19.458,-19.763,-19.944,-20.037,-20.181,-20.411,-20.654,-20.78,-20.827,-20.997,-21.09,-21.186,-21.372,-21.291,-21.545,-21.731,-21.868,-22.017,-22.141,-22.304,-22.414,-22.6,-22.783,-22.877,-22.97,-23.063,-23.08,-23.149,-23.18,-23.18,-23.18,-23.18,-23.144,-23.08,-23.102,-23.18,-23.18,-23.18,-23.18,-23.092,-23.015,-22.98,-22.966,-22.891,-22.801,-22.635,-22.449,-22.321,-22.176,-21.899,-21.603,-21.353,-21.005,-20.744,-20.553,-20.329,-20.135,-19.948,-20.117,-20.112,-19.798,-19.425,-19.216,-19.029,-18.98,-18.98,-18.98,-18.98,-18.947,-18.732,-18.28,-18.28,-18.28,-18.234,-18.18,-18.18,-18.192,-18.296,-18.575,-18.672,-18.765,-18.624,-18.58,-18.58,-18.613,-18.654,-18.58,-18.605,-18.78,-18.78,-18.78,-18.609,-18.423,-18.323,-18.2,-17.947,-17.627,-17.46,-17.367,-17.274,-17.181,-17.088,-17.337,-17.459,-17.48,-17.219,-16.913,-16.78,-16.78,-16.868,-16.961,-16.831,-16.726,-16.68,-16.768,-17.025,-17.149,-16.98,-16.98,-16.98,-16.918,-16.773
-13.678,-13.678,-13.678,-13.678,-13.678,-13.678,-13.678,-13.678,-13.678,-13.678,-13.678,-13.678,-13.678,-13.678,-13.678,-13.678,-13.678,-13.678,-13.678,-13.678,-13.678,-13.678,-13.678,-13.678,-13.678,-13.678,-13.678,-13.678,-13.678,-13.678,-13.678,-13.678,-13.678,-13.678,-13.697,-13.778,-13.778,-13.778,-13.778,-13.778,-13.857,-13.878,-13.878,-13.936,-13.926,-13.923,-14.016,-14.036,-14.044,-14.01,-14.039,-14.078,-14.078,-14.118,-14.212,-14.359,-14.638,-14.905,-15.124,-15.776,-17.08,-18.298,-19.034,-19.614,-19.91,-20.273,-20.792,-21.351,-21.794,-22.106,-22.529,-23.051,-23.378,-23.388,-23.574,-23.852,-23.962,-24.056,-24.361,-24.542,-24.635,-24.779,-25.009,-25.252,-25.378,-25.425,-25.595,-25.688,-25.784,-25.97,-25.889,-26.143,-26.329,-26.466,-26.615,-26.739,-26.902,-27.012,-27.198,-27.381,-27.475,-27.568,-27.661,-27.678,-27.747,-27.778,-27.778,-27.778,-27.778,-27.742,-27.678,-27.7,-27.778,-27.778,-27.778,-27.778,-27.69,-27.613,-27.578,-27.564,-27.489,-27.399,-27.233,-27.047,-26.919,-26.774,-26.497,-26.201,-25.951,-25.603,-25.342,-25.151,-24.927,-24.733,-24.546,-24.715,-24.71,-24.396,-24.023,-23.814,-23.627,-23.578,-23.578,-23.578,-23.578,-23.545,-23.33,-22.878,-22.878,-22.878,-22.832,-22.778,-22.778,-22.79,-22.894,-23.173,-23.27,-23.363,-23.222,-23.178,-23.178,-23.211,-23.252,-23.178,-23.203,-23.378,-23.378,-23.378,-23.207,-23.021,-22.921,-22.798,-22.545,-22.225,-22.058,-21.965,-21.872,-21.779,-21.686,-21.935,-22.057,-22.078,-21.817,-21.511,-21.378,-21.378,-21.466,-21.559,-21.429,-21.324,-21.278,-21.366,-21.623,-21.747,-21.578,-21.578,-21.578,-21.516,-21.371
-18.736,-18.736,-18.736,-18.736,-18.736,-18.736,-18.736,-18.736,-18.736,-18.736,-18.736,-18.736,-18.736,-18.736,-18.736,-18.736,-18.736,-18.736,-18.736,-18.736,-18.736,-18.736,-18.736,-18.736,-18.736,-18.736,-18.736,-18.736,-18.736,-18.736,-18.736,-18.736,-18.736,-18.736,-18.755,-18.836,-18.836,-18.836,-18.836,-18.836,-18.915,-18.936,-18.936,-18.994,-18.984,-18.981,-19.074,-19.094,-19.102,-19.068,-19.097,-19.136,-19.136,-19.176,-19.27,-19.417,-19.696,-19.963,-20.182,-20.834,-22.138,-23.356,-24.092,-24.672,-24.968,-25.331,-25.85,-26.409,-26.852,-27.164,-27.587,-28.109,-28.436,-28.446,-28.632,-28.91,-29.02,-29.114,-29.419,-29.6,-29.693,-29.837,-30.067,-30.31,-30.436,-30.483,-30.653,-30.746,-30.842,-31.028,-30.947,-31.201,-31.387,-31.524,-31.673,-31.797,-31.96,-32.07,-32.256,-32.439,-32.533,-32.626,-32.719,-32.736,-32.805,-32.836,-32.836,-32.836,-32.836,-32.8,-32.736,-32.758,-32.836,-32.836,-32.836,-32.836,-32.748,-32.671,-32.636,-32.622,-32.547,-32.457,-32.291,-32.105,-31.977,-31.832,-31.555,-31.259,-31.009,-30.661,-30.4,-30.209,-29.985,-29.791,-29.604,-29.773,-29.768,-29.454,-29.081,-28.872,-28.685,-28.636,-28.636,-28.636,-28.636,-28.603,-28.388,-27.936,-27.936,-27.936,-27.89,-27.836,-27.836,-27.848,-27.952,-28.231,-28.328,-28.421,-28.28,-28.236,-28.236,-28.269,-28.31,-28.236,-28.261,-28.436,-28.436,-28.436,-28.265,-28.079,-27.979,-27.856,-27.603,-27.283,-27.116,-27.023,-26.93,-26.837,-26.744,-26.993,-27.115,-27.136,-26.875,-26.569,-26.436,-26.436,-26.524,-26.617,-26.487,-26.382,-26.336,-26.424,-26.681,-26.805,-26.636,-26.636,-26.636,-26.574,-26.429
-24.299,-24.299,-24.299,-24.299,-24.299,-24.299,-24.299,-24.299,-24.299,-24.299,-24.299,-24.299,-24.299,-24.299,-24.299,-24.299,-24.299,-24.299,-24.299,-24.299,-24.299,-24.299,-24.299,-24.299,-24.299,-24.299,-24.299,-24.299,-24.299,-24.299,-24.299,-24.299,-24.299,-24.299,-24.318,-24.399,-24.399,-24.399,-24.399,-24.399,-24.478,-24.499,-24.499,-24.557,-24.547,-24.544,-24.637,-24.657,-24.665,-24.631,-24.66,-24.699,-24.699,-24.739,-24.833,-24.98,-25.259,-25.526,-25.745,-26.397,-27.701,-28.919,-29.655,-30.235,-30.531,-30.894,-31.413,-31.972,-32.415,-32.727,-33.15,-33.672,-33.999,-34.009,-34.195,-34.473,-34.583,-34.677,-34.982,-35.163,-35.256,-35.4,-35.63,-35.873,-35.999,-36.046,-36.216,-36.309,-36.405,-36.591,-36.51,-36.764,-36.95,-37.087,-37.236,-37.36,-37.523,-37.633,-37.819,-38.002,-38.096,-38.189,-38.282,-38.299,-38.368,-38.399,-38.399,-38.399,-38.399,-38.363,-38.299,-38.321,-38.399,-38.399,-38.399,-38.399,-38.311,-38.234,-38.199,-38.185,-38.11,-38.02,-37.854,-37.668,-37.54,-37.395,-37.118,-36.822,-36.572,-36.224,-35.963,-35.772,-35.548,-35.354,-35.167,-35.336,-35.331,-35.017,-34.644,-34.435,-34.248,-34.199,-34.199,-34.199,-34.199,-34.166,-33.951,-33.499,-33.499,-33.499,-33.453,-33.399,-33.399,-33.411,-33.515,-33.794,-33.891,-33.984,-33.843,-33.799,-33.799,-33.832,-33.873,-33.799,-33.824,-33.999,-33.999,-33.999,-33.828,-33.642,-33.542,-33.419,-33.166,-32.846,-32.679,-32.586,-32.493,-32.4,-32.307,-32.556,-32.678,-32.699,-32.438,-32.132,-31.999,-31.999,-32.087,-32.18,-32.05,-31.945,-31.899,-31.987,-32.244,-32.368,-32.199,-32.199,-32.199,-32.137,-31.992
-30.419,-30.419,-30.419,-30.419,-30.419,-30.419,-30.419,-30.419,-30.419,-30.419,-30.419,-30.419,-30.419,-30.419,-30.419,-30.419,-30.419,-30.419,-30.419,-30.419,-30.419,-30.419,-30.419,-30.419,-30.419,-30.419,-30.419,-30.419,-30.419,-30.419,-30.419,-30.419,-30.419,-30.419,-30.438,-30.519,-30.519,-30.519,-30.519,-30.519,-30.598,-30.619,-30.619,-30.677,-30.667,-30.664,-30.757,-30.777,-30.785,-30.751,-30.78,-30.819,-30.819,-30.859,-30.953,-31.1,-31.379,-31.646,-31.865,-32.517,-33.821,-35.039,-35.775,-36.355,-36.651,-37.014,-37.533,-38.092,-38.535,-38.847,-39.27,-39.792,-40.119,-40.129,-40.315,-40.593,-40.703,-40.797,-41.102,-41.283,-41.376,-41.52,-41.75,-41.993,-42.119,-42.166,-42.336,-42.429,-42.525,-42.711,-42.63,-42.884,-43.07,-43.207,-43.356,-43.48,-43.643,-43.753,-43.939,-44.122,-44.216,-44.309,-44.402,-44.419,-44.488,-44.519,-44.519,-44.519,-44.519,-44.483,-44.419,-44.441,-44.519,-44.519,-44.519,-44.519,-44.431,-44.354,-44.319,-44.305,-44.23,-44.14,-43.974,-43.788,-43.66,-43.515,-43.238,-42.942,-42.692,-42.344,-42.083,-41.892,-41.668,-41.474,-41.287,-41.456,-41.451,-41.137,-40.764,-40.555,-40.368,-40.319,-40.319,-40.319,-40.319,-40.286,-40.071,-39.619,-39.619,-39.619,-39.573,-39.519,-39.519,-39.531,-39.635,-39.914,-40.011,-40.104,-39.963,-39.919,-39.919,-39.952,-39.993,-39.919,-39.944,-40.119,-40.119,-40.119,-39.948,-39.762,-39.662,-39.539,-39.286,-38.966,-38.799,-38.706,-38.613,-38.52,-38.427,-38.676,-38.798,-38.819,-38.558,-38.252,-38.119,-38.119,-38.207,-38.3,-38.17,-38.065,-38.019,-38.107,-38.364,-38.488,-38.319,-38.319,-38.319,-38.257,-38.112
-37.151,-37.151,-37.151,-37.151,-37.151,-37.151,-37.151,-37.151,-37.151,-37.151,-37.151,-37.151,-37.151,-37.151,-37.151,-37.151,-37.151,-37.151,-37.151,-37.151,-37.151,-37.151,-37.151,-37.151,-37.151,-37.151,-37.151,-37.151,-37.151,-37.151,-37.151,-37.151,-37.151,-37.151,-37.17,-37.251,-37.251,-37.251,-37.251,-37.251,-37.33,-37.351,-37.351,-37.409,-37.399,-37.396,-37.489,-37.509,-37.517,-37.483,-37.512,-37.551,-37.551,-37.591,-37.685,-37.832,-38.111,-38.378,-38.597,-39.249,-40.553,-41.771,-42.507,-43.087,-43.383,-43.746,-44.265,-44.824,-45.267,-45.579,-46.002,-46.524,-46.851,-46.861,-47.047,-47.325,-47.435,-47.529,-47.834,-48.015,-48.108,-48.252,-48.482,-48.725,-48.851,-48.898,-49.068,-49.161,-49.257,-49.443,-49.362,-49.616,-49.802,-49.939,-50.088,-50.212,-50.375,-50.485,-50.671,-50.854,-50.948,-51.041,-51.134,-51.151,-51.22,-51.251,-51.251,-51.251,-51.251,-51.215,-51.151,-51.173,-51.251,-51.251,-51.251,-51.251,-51.163,-51.086,-51.051,-51.037,-50.962,-50.872,-50.706,-50.52,-50.392,-50.247,-49.97,-49.674,-49.424,-49.076,-48.815,-48.624,-48.4,-48.206,-48.019,-48.188,-48.183,-47.869,-47.496,-47.287,-47.1,-47.051,-47.051,-47.051,-47.051,-47.018,-46.803,-46.351,-46.351,-46.351,-46.305,-46.251,-46.251,-46.263,-46.367,-46.646,-46.743,-46.836,-46.695,-46.651,-46.651,-46.684,-46.725,-46.651,-46.676,-46.851,-46.851,-46.851,-46.68,-46.494,-46.394,-46.271,-46.018,-45.698,-45.531,-45.438,-45.345,-45.252,-45.159,-45.408,-45.53,-45.551,-45.29,-44.984,-44.851,-44.851,-44.939,-45.032,-44.902,-44.797,-44.751,-44.839,-45.096,-45.22,-45.051,-45.051,-45.051,-44.989,-44.844
-44.556,-44.556,-44.556,-44.556,-44.556,-44.556,-44.556,-44.556,-44.556,-44.556,-44.556,-44.556,-44.556,-44.556,-44.556,-44.556,-44.556,-44.556,-44.556,-44.556,-44.556,-44.556,-44.556,-44.556,-44.556,-44.556,-44.556,-44.556,-44.556,-44.556,-44.556,-44.556,-44.556,-44.556,-44.575,-44.656,-44.656,-44.656,-44.656,-44.656,-44.735,-44.756,-44.756,-44.814,-44.804,-44.801,-44.894,-44.914,-44.922,-44.888,-44.917,-44.956,-44.956,-44.996,-45.09,-45.237,-45.516,-45.783,-46.002,-46.654,-47.958,-49.176,-49.912,-50.492,-50.788,-51.151,-51.67,-52.229,-52.672,-52.984,-53.407,-53.929,-54.256,-54.266,-54.452,-54.73,-54.84,-54.934,-55.239,-55.42,-55.513,-55.657,-55.887,-56.13,-56.256,-56.303,-56.473,-56.566,-56.662,-56.848,-56.767,-57.021,-57.207,-57.344,-57.493,-57.617,-57.78,-57.89,-58.076,-58.259,-58.353,-58.446,-58.539,-58.556,-58.625,-58.656,-58.656,-58.656,-58.656,-58.62,-58.556,-58.578,-58.656,-58.656,-58.656,-58.656,-58.568,-58.491,-58.456,-58.442,-58.367,-58.277,-58.111,-57.925,-57.797,-57.652,-57.375,-57.079,-56.829,-56.481,-56.22,-56.029,-55.805,-55.611,-55.424,-55.593,-55.588,-55.274,-54.901,-54.692,-54.505,-54.456,-54.456,-54.456,-54.456,-54.423,-54.208,-53.756,-53.756,-53.756,-53.71,-53.656,-53.656,-53.668,-53.772,-54.051,-54.148,-54.241,-54.1,-54.056,-54.056,-54.089,-54.13,-54.056,-54.081,-54.256,-54.256,-54.256,-54.085,-53.899,-53.799,-53.676,-53.423,-53.103,-52.936,-52.843,-52.75,-52.657,-52.564,-52.813,-52.935,-52.956,-52.695,-52.389,-52.256,-52.256,-52.344,-52.437,-52.307,-52.202,-52.156,-52.244,-52.501,-52.625,-52.456,-52.456,-52.456,-52.394,-52.249
