Distance,Waterdepth
0.0,0.0
8.724831081081081,0.0
17.449662162162163,0.0
26.174493243243244,0.0
34.899324324324326,0.0
43.6241554054054,0.0
52.34898648648649,0.0
61.07381756756757,0.0
69.79864864864865,0.0
78.52347972972973,0.0
87.2483108108108,0.0
95.9731418918919,0.0
104.69797297297298,0.0
113.42280405405405,0.0
122.14763513513515,-0.179
130.87246621621622,-0.397
139.5972972972973,-0.615
148.32212837837838,-0.833
157.04695945945946,-1.027
165.77179054054054,-1.142
174.4966216216216,-1.257
183.22145270270272,-1.372
191.9462837837838,-1.487
200.67111486486488,-1.602
209.39594594594595,-1.717
218.12077702702703,-1.832
226.8456081081081,-1.947
235.5704391891892,-2.062
244.2952702702703,-2.178
253.02010135135137,-2.288
261.74493243243245,-2.397
270.4697635135135,-2.506
279.1945945945946,-2.615
287.9194256756757,-2.724
296.64425675675676,-2.833
305.36908783783787,-2.942
314.0939189189189,-3.051
322.81875,-3.16
331.5435810810811,-3.269
340.2684121621622,-3.378
348.9932432432432,-3.487
357.71807432432433,-3.596
366.44290540540544,-3.666
375.1677364864865,-3.733
383.8925675675676,-3.801
392.61739864864865,-3.869
401.34222972972975,-3.936
410.0670608108108,-4.004
418.7918918918919,-4.072
427.516722972973,-4.139
436.24155405405406,-4.207
444.96638513513517,-4.275
453.6912162162162,-4.342
462.4160472972973,-4.41
471.1408783783784,-4.478
479.8657094594595,-4.566
488.5905405405406,-4.665
497.31537162162164,-4.764
506.04020270270274,-4.862
514.7650337837838,-4.961
523.4898648648649,-5.059
532.214695945946,-5.158
540.939527027027,-5.257
549.6643581081081,-5.355
558.3891891891892,-5.454
567.1140202702703,-5.553
575.8388513513514,-5.651
584.5636824324324,-5.75
593.2885135135135,-5.792
602.0133445945946,-5.777
610.7381756756757,-5.762
619.4630067567567,-5.747
628.1878378378378,-5.731
636.9126689189189,-5.716
645.6375,-5.701
654.3623310810812,-5.685
663.0871621621621,-5.67
671.8119932432433,-5.655
680.5368243243244,-5.639
689.2616554054055,-5.624
697.9864864864865,-5.609
706.7113175675676,-5.559
715.4361486486487,-5.462
724.1609797297298,-5.365
732.8858108108109,-5.268
741.6106418918919,-5.171
750.335472972973,-5.074
759.0603040540541,-4.977
767.7851351351352,-4.88
776.5099662162163,-4.783
785.2347972972973,-4.686
793.9596283783784,-4.589
802.6844594594595,-4.492
811.4092905405406,-4.392
820.1341216216216,-4.21
828.8589527027027,-4.029
837.5837837837838,-3.848
846.3086148648649,-3.667
855.033445945946,-3.486
863.758277027027,-3.305
872.4831081081081,-3.124
881.2079391891892,-2.943
889.9327702702703,-2.762
898.6576013513513,-2.581
907.3824324324324,-2.4
916.1072635135135,-2.219
924.8320945945947,-2.071
933.5569256756758,-1.927
942.2817567567567,-1.783
951.0065878378379,-1.639
959.731418918919,-1.495
968.4562500000001,-1.351
977.1810810810812,-1.207
985.9059121621622,-1.063
994.6307432432433,-0.919
1003.3555743243244,-0.776
1012.0804054054055,-0.632
1020.8052364864865,-0.763
1029.5300675675676,-0.971
1038.2548986486486,-1.18
1046.9797297297298,-1.389
1055.7045608108108,-1.597
1064.429391891892,-1.806
1073.154222972973,-2.015
1081.879054054054,-2.223
1090.6038851351352,-2.432
1099.3287162162162,-2.64
1108.0535472972974,-2.745
1116.7783783783784,-2.513
1125.5032094594594,-2.28
1134.2280405405406,-2.047
1142.9528716216216,-1.864
1151.6777027027028,-1.693
1160.4025337837838,-1.522
1169.1273648648648,-1.35
1177.852195945946,-1.179
1186.577027027027,-1.008
1195.3018581081083,-0.539
1204.0266891891893,-0.0541
1212.7515202702702,0.0945
1221.4763513513515,0.201
1230.2011824324325,0.307
1238.9260135135135,0.414
1247.6508445945947,0.529
1256.3756756756757,0.685
1265.1005067567569,0.841
1273.8253378378379,0.997
1282.5501689189189,1.658
1291.275,2.329
