Distance (m),Waterdepth (m)
0.0,1.994
23.436,2.426
45.189,2.429
70.037,2.582
91.878,3.075
117.61,4.49
142.46,6.006
168.19,5.979
196.8,5.338
227.4,2.844
253.01,2.045
280.85,1.875
303.97,1.86
328.48,1.69
355.61,1.54
383.27,1.26
407.62,1.225
431.27,1.192
454.59,1.126
478.39,1.0
496.98,0.9098
519.94,0.9893
539.0,0.8695
