Distance,Waterdepth
0.0,-1.1
3.728641414141414,-1.1
7.457282828282828,-1.1
11.185924242424242,-1.1
14.914565656565657,-1.1
18.64320707070707,-1.1
22.371848484848485,-1.1
26.1004898989899,-1.1
29.829131313131313,-1.1
33.55777272727273,-1.1
37.28641414141414,-1.1
41.015055555555556,-1.1
44.74369696969697,-1.1
48.472338383838384,-1.1
52.2009797979798,-1.1
55.92962121212121,-1.1
59.658262626262626,-1.1
63.38690404040404,-1.1
67.11554545454545,-1.1
70.84418686868688,-1.1
74.57282828282828,-1.1
78.30146969696969,-1.1
82.03011111111111,-1.1
85.75875252525253,-1.1
89.48739393939394,-1.1
93.21603535353535,-1.1
96.94467676767677,-1.1
100.67331818181819,-1.1
104.4019595959596,-1.1
108.130601010101,-1.1
111.85924242424242,-1.1
115.58788383838385,-1.1
119.31652525252525,-1.1
123.04516666666666,-1.1
126.77380808080808,-1.119
130.5024494949495,-1.2
134.2310909090909,-1.2
137.95973232323232,-1.2
141.68837373737375,-1.2
145.41701515151516,-1.2
149.14565656565657,-1.279
152.87429797979797,-1.3
156.60293939393938,-1.3
160.33158080808082,-1.358
164.06022222222222,-1.348
167.78886363636363,-1.345
171.51750505050506,-1.438
175.24614646464647,-1.458
178.97478787878788,-1.466
182.7034292929293,-1.432
186.4320707070707,-1.461
190.16071212121213,-1.5
193.88935353535354,-1.5
197.61799494949494,-1.54
201.34663636363638,-1.634
205.07527777777779,-1.781
208.8039191919192,-2.06
212.5325606060606,-2.327
216.261202020202,-2.546
219.98984343434344,-3.198
223.71848484848485,-4.502
227.44712626262626,-5.72
231.1757676767677,-6.456
234.9044090909091,-7.036
238.6330505050505,-7.332
242.3616919191919,-7.695
246.09033333333332,-8.214
249.81897474747475,-8.773
253.54761616161616,-9.216
257.2762575757576,-9.528
261.004898989899,-9.951
264.7335404040404,-10.473
268.4621818181818,-10.8
272.1908232323232,-10.81
275.91946464646463,-10.996
279.64810606060604,-11.274
283.3767474747475,-11.384
287.1053888888889,-11.478
290.8340303030303,-11.783
294.5626717171717,-11.964
298.29131313131313,-12.057
302.01995454545454,-12.201
305.74859595959595,-12.431
309.47723737373735,-12.674
313.20587878787876,-12.8
316.9345202020202,-12.847
320.66316161616163,-13.017
324.39180303030304,-13.11
328.12044444444444,-13.206
331.84908585858585,-13.392
335.57772727272726,-13.311
339.30636868686867,-13.565
343.03501010101013,-13.751
346.76365151515154,-13.888
350.49229292929294,-14.037
354.22093434343435,-14.161
357.94957575757576,-14.324
361.67821717171717,-14.434
365.4068585858586,-14.62
369.1355,-14.803
372.8641414141414,-14.897
376.59278282828285,-14.99
380.32142424242426,-15.083
384.05006565656566,-15.1
387.77870707070707,-15.169
391.5073484848485,-15.2
395.2359898989899,-15.2
398.9646313131313,-15.2
402.69327272727276,-15.2
406.42191414141416,-15.164
410.15055555555557,-15.1
413.879196969697,-15.122
417.6078383838384,-15.2
421.3364797979798,-15.2
425.0651212121212,-15.2
428.7937626262626,-15.2
432.522404040404,-15.112
436.2510454545455,-15.035
439.9796868686869,-15.0
443.7083282828283,-14.986
447.4369696969697,-14.911
451.1656111111111,-14.821
454.8942525252525,-14.655
458.6228939393939,-14.469
462.3515353535354,-14.341
466.0801767676768,-14.196
469.8088181818182,-13.919
473.5374595959596,-13.623
477.266101010101,-13.373
480.9947424242424,-13.025
484.7233838383838,-12.764
488.45202525252523,-12.573
492.18066666666664,-12.349
495.9093080808081,-12.155
499.6379494949495,-11.968
503.3665909090909,-12.137
507.0952323232323,-12.132
510.82387373737373,-11.818
514.5525151515152,-11.445
518.2811565656566,-11.236
522.009797979798,-11.049
525.7384393939394,-11.0
529.4670808080808,-11.0
533.1957222222222,-11.0
536.9243636363636,-11.0
540.653005050505,-10.967
544.3816464646465,-10.752
548.1102878787879,-10.3
551.8389292929293,-10.3
555.5675707070707,-10.3
559.2962121212121,-10.254
563.0248535353535,-10.2
566.753494949495,-10.2
570.4821363636364,-10.212
574.2107777777778,-10.316
577.9394191919192,-10.595
581.6680606060606,-10.692
585.396702020202,-10.785
589.1253434343434,-10.644
592.8539848484849,-10.6
596.5826262626263,-10.6
600.3112676767677,-10.633
604.0399090909091,-10.674
607.7685505050505,-10.6
611.4971919191919,-10.625
615.2258333333333,-10.8
618.9544747474747,-10.8
622.6831161616161,-10.8
626.4117575757575,-10.629
630.140398989899,-10.443
633.8690404040404,-10.343
637.5976818181819,-10.22
641.3263232323233,-9.967
645.0549646464647,-9.647
648.7836060606061,-9.48
652.5122474747475,-9.387
656.2408888888889,-9.294
659.9695303030303,-9.201
663.6981717171717,-9.108
667.4268131313131,-9.357
671.1554545454545,-9.479
674.8840959595959,-9.5
678.6127373737373,-9.239
682.3413787878787,-8.933
686.0700202020203,-8.8
689.7986616161617,-8.8
693.5273030303031,-8.888
697.2559444444445,-8.981
700.9845858585859,-8.851
704.7132272727273,-8.746
708.4418686868687,-8.7
712.1705101010101,-8.788
715.8991515151515,-9.045
719.6277929292929,-9.169
723.3564343434343,-9.0
727.0850757575757,-9.0
730.8137171717171,-9.0
734.5423585858586,-8.938
738.271,-8.793
