Distance,Waterdepth
0.0,0.0
9.343438775510204,0.0
18.68687755102041,0.0
28.030316326530613,0.0
37.37375510204082,0.0
46.717193877551026,0.0
56.06063265306123,0.0
65.40407142857143,0.0
74.74751020408164,0.0
84.09094897959184,0.0
93.43438775510205,0.0
102.77782653061224,0.0
112.12126530612245,-0.106
121.46470408163266,-0.542
130.80814285714285,-0.809
140.15158163265306,-1.076
149.49502040816327,-1.343
158.83845918367348,-1.705
168.1818979591837,-2.203
177.5253367346939,-2.701
186.8687755102041,-3.2
196.21221428571428,-3.698
205.5556530612245,-4.196
214.8990918367347,-4.695
224.2425306122449,-5.193
233.5859693877551,-5.662
242.92940816326532,-6.084
252.27284693877553,-6.507
261.6162857142857,-6.929
270.9597244897959,-7.352
280.3031632653061,-7.774
289.64660204081633,-8.196
298.99004081632654,-8.619
308.33347959183675,-8.986
317.67691836734696,-9.31
327.02035714285716,-9.635
336.3637959183674,-9.96
345.7072346938776,-10.285
355.0506734693878,-10.61
364.394112244898,-10.935
373.7375510204082,-11.252
383.08098979591836,-11.532
392.42442857142856,-11.813
401.7678673469388,-12.093
411.111306122449,-12.373
420.4547448979592,-12.654
429.7981836734694,-12.934
439.1416224489796,-13.214
448.4850612244898,-13.492
457.8285,-13.768
467.1719387755102,-14.045
476.51537755102044,-14.321
485.85881632653064,-14.597
495.20225510204085,-14.874
504.54569387755106,-15.15
513.8891326530612,-15.428
523.2325714285714,-15.718
532.5760102040816,-16.008
541.9194489795918,-16.299
551.262887755102,-16.589
560.6063265306123,-16.88
569.9497653061225,-17.17
579.2932040816327,-17.46
588.6366428571429,-17.663
597.9800816326531,-17.454
607.3235204081633,-17.245
616.6669591836735,-17.036
626.0103979591837,-16.827
635.3538367346939,-16.618
644.6972755102041,-16.409
654.0407142857143,-16.2
663.3841530612245,-15.973
672.7275918367347,-15.322
682.071030612245,-14.67
691.4144693877552,-14.018
700.7579081632654,-13.367
710.1013469387756,-12.715
719.4447857142858,-12.064
728.788224489796,-11.412
738.1316632653062,-10.761
747.4751020408164,-9.46
756.8185408163265,-8.094
766.1619795918367,-6.727
775.5054183673469,-5.36
784.8488571428571,-3.994
794.1922959183673,-2.627
803.5357346938775,-1.261
812.8791734693878,0.045
822.222612244898,0.191
831.5660510204082,0.337
840.9094897959184,0.483
850.2529285714286,1.686
859.5963673469388,3.267
868.939806122449,6.004
878.2832448979592,7.394
887.6266836734694,7.95
896.9701224489796,7.665
906.3135612244898,7.379
915.657,7.094
