Distance (m),UTM 51 Lon,UTM 51 Lat,S1 Backscatter
0,616160.028554,8035371.55499,-24.2398967743
10.2325473422,616170.060119,8035369.53688,-22.5014896393
20.4650946844,616180.091683,8035367.51878,-18.7028121948
30.6976420266,616190.123247,8035365.50068,-16.6576709747
40.9301893688,616200.154811,8035363.48257,-15.3615446091
51.162736711,616210.186376,8035361.46447,-14.7755384445
61.3952840532,616220.21794,8035359.44636,-14.5828742981
71.6278313954,616230.249504,8035357.42826,-16.2557373047
81.8603787376,616240.281068,8035355.41016,-17.2911605835
92.0929260798,616250.312633,8035353.39205,-17.9503517151
102.325473422,616260.344197,8035351.37395,-17.8888015747
112.558020764,616270.375761,8035349.35584,-18.1174526215
122.790568106,616280.407325,8035347.33774,-16.8469333649
133.023115449,616290.43889,8035345.31964,-16.3214702606
143.255662791,616300.470454,8035343.30153,-14.9298000336
153.488210133,616310.502018,8035341.28343,-13.9000530243
163.720757475,616320.533582,8035339.26532,-13.5205583572
173.953304817,616330.565147,8035337.24722,-14.625743866
184.18585216,616340.596711,8035335.22912,-14.7855682373
194.418399502,616350.628275,8035333.21101,-15.2527284622
204.650946844,616360.659839,8035331.19291,-15.7931098938
214.883494186,616370.691404,8035329.1748,-15.798081398
225.116041528,616380.722968,8035327.1567,-16.1197948456
235.348588871,616390.754532,8035325.1386,-15.0612373352
245.581136213,616400.786096,8035323.12049,-14.5143671036
255.813683555,616410.817661,8035321.10239,-14.5641078949
266.046230897,616420.849225,8035319.08428,-14.7519445419
276.278778239,616430.880789,8035317.06618,-14.6219902039
286.511325582,616440.912353,8035315.04808,-14.5642204285
296.743872924,616450.943918,8035313.02997,-14.7713851929
306.976420266,616460.975482,8035311.01187,-15.2159404755
317.208967608,616471.007046,8035308.99376,-15.7576770782
327.44151495,616481.03861,8035306.97566,-15.8381509781
337.674062292,616491.070175,8035304.95756,-15.8547439575
347.906609635,616501.101739,8035302.93945,-15.5757246017
358.139156977,616511.133303,8035300.92135,-15.3789510727
368.371704319,616521.164867,8035298.90324,-14.8711166382
378.604251661,616531.196432,8035296.88514,-13.2853527069
388.836799003,616541.227996,8035294.86704,-12.7405662537
399.069346346,616551.25956,8035292.84893,-13.2070016861
409.301893688,616561.291124,8035290.83083,-15.0921134949
419.53444103,616571.322689,8035288.81272,-16.8929786682
429.766988372,616581.354253,8035286.79462,-18.2434921265
439.999535714,616591.385817,8035284.77652,-19.0159778595
450.232083057,616601.417381,8035282.75841,-19.2391834259
460.464630399,616611.448946,8035280.74031,-18.8452854156
470.697177741,616621.48051,8035278.7222,-18.0578098297
480.929725083,616631.512074,8035276.7041,-17.6821689606
491.162272425,616641.543638,8035274.686,-17.5458984375
501.394819768,616651.575203,8035272.66789,-17.8362293243
511.62736711,616661.606767,8035270.64979,-17.3998298645
521.859914452,616671.638331,8035268.63168,-17.2410354614
532.092461794,616681.669895,8035266.61358,-17.1279582977
542.325009136,616691.70146,8035264.59548,-16.7639827728
552.557556479,616701.733024,8035262.57737,-16.717042923
562.790103821,616711.764588,8035260.55927,-16.6727428436
573.022651163,616721.796152,8035258.54116,-16.5767211914
583.255198505,616731.827717,8035256.52306,-15.9785280228
593.487745847,616741.859281,8035254.50496,-16.1330947876
603.72029319,616751.890845,8035252.48685,-16.2981052399
613.952840532,616761.922409,8035250.46875,-16.8319759369
624.185387874,616771.953974,8035248.45064,-17.2761535645
634.417935216,616781.985538,8035246.43254,-18.9727611542
644.650482558,616792.017102,8035244.41444,-20.2865829468
654.883029901,616802.048666,8035242.39633,-22.0909957886
665.115577243,616812.080231,8035240.37823,-24.3009204865
675.348124585,616822.111795,8035238.36012,-27.6844139099
685.580671927,616832.143359,8035236.34202,-28.2113990784
695.813219269,616842.174923,8035234.32392,-28.6185646057
706.045766612,616852.206488,8035232.30581,-29.3333473206
716.278313954,616862.238052,8035230.28771,-29.7394733429
726.510861296,616872.269616,8035228.2696,-29.4253635406
736.743408638,616882.30118,8035226.2515,-29.3862457275
746.97595598,616892.332745,8035224.2334,-28.7120418549
757.208503323,616902.364309,8035222.21529,-28.1591968536
767.441050665,616912.395873,8035220.19719,-28.1208667755
777.673598007,616922.427437,8035218.17908,-29.5458641052
787.906145349,616932.459002,8035216.16098,-30.1725711823
798.138692691,616942.490566,8035214.14288,-30.2631530762
808.371240034,616952.52213,8035212.12477,-30.1988964081
818.603787376,616962.553694,8035210.10667,-30.2893161774
828.836334718,616972.585259,8035208.08856,-30.2840042114
839.06888206,616982.616823,8035206.07046,-30.1521015167
