Distance (m),UTM 51 Lon,UTM 51 Lat,S1 Backscatter
1318.60559502,714209.339845,8005104.09506,-19.7467269897
1332.82360966,714203.561127,8005091.09563,-19.8477535248
1347.04162429,714197.782409,8005078.09621,-19.8717689514
1359.62745666,714192.915217,8005066.48194,-19.9438304901
1372.21328904,714188.048025,8005054.86767,-20.0345935822
1384.73056806,714187.496706,8005042.35552,-20.2331695557
1397.24784708,714186.945387,8005029.84336,-20.3898658752
1409.0723478,714182.819404,8005018.755,-20.4718914032
1420.89684852,714178.693421,8005007.66663,-20.115064621
1432.97299349,714178.095827,8004995.5985,-19.9920158386
1445.04913846,714177.498234,8004983.53038,-20.0362873077
1455.57426164,714174.586791,8004973.40981,-20.5849380493
1466.09938482,714171.675349,8004963.28924,-21.2399940491
1487.07652722,714164.230594,8004943.66503,-22.3596782684
1497.93363,714163.243333,8004932.8468,-22.5736808777
1508.79073277,714162.256073,8004922.02857,-22.3284988403
1520.57728074,714160.824489,8004910.32263,-22.2056064606
1532.36382871,714159.392906,8004898.61669,-21.7375850677
1552.57228721,714156.206292,8004878.64959,-20.1613044739
1563.92985444,714153.386768,8004867.64099,-19.9689922333
1575.28742168,714150.567245,8004856.63239,-20.5102901459
1587.07398704,714149.135473,8004844.92646,-20.9277038574
1598.8605524,714147.703701,8004833.22053,-21.1603488922
1610.21814841,714144.884021,8004822.21194,-21.1966953278
1621.57574441,714142.064341,8004811.20335,-21.158536911
1641.7842569,714138.877252,8004791.23628,-20.9607772827
1652.26784265,714136.227777,8004781.08694,-20.8571338654
1662.75142839,714133.578302,8004770.9376,-20.8200244904
1673.69169855,714130.712267,8004760.37306,-20.9399414062
1684.63196871,714127.846231,8004749.80853,-20.8463802338
1695.87239141,714126.898838,8004738.60178,-20.8582801819
1707.11281412,714125.951444,8004727.39503,-20.5252742767
1729.4074494,714115.867894,8004707.49705,-20.5732383728
1751.42675347,714106.297837,8004687.65248,-21.0607128143
1769.27350182,714108.142756,8004669.89129,-21.2685642242
1779.5406827,714111.352448,8004679.64993,-21.0607128143
1800.96000272,714127.904841,8004693.26315,-20.5078754425
