Distance (m),UTM 51 Lon,UTM 51 Lat,S1 Backscatter
0,714232.968537,8006313.67072,-29.6170692444
22.2897166168,714222.896827,8006293.77225,-29.3262653351
37.7928785058,714221.877898,8006278.2939,-29.1191654205
54.6386625189,714218.863769,8006261.71036,-29.4269428253
72.7042482667,714211.046086,8006245.41265,-29.5297298431
85.9417238949,714208.700525,8006232.3771,-29.5804405212
96.7985895437,714207.715552,8006221.55889,-29.7404174805
107.655455192,714206.730578,8006210.74069,-29.6807308197
129.652404186,714197.205496,8006190.89929,-29.6240787506
141.483256617,714193.066073,8006179.80915,-29.4876747131
153.314109047,714188.92665,8006168.71901,-29.3938140869
165.303511392,714184.553321,8006157.54847,-29.1220741272
177.292913736,714180.179992,8006146.37793,-28.8769397736
189.054542195,714176.319908,8006135.26079,-28.6690979004
200.816170654,714172.459824,8006124.14366,-28.9319858551
212.570960544,714166.95008,8006113.75266,-28.9201412201
224.325750434,714161.440337,8006103.36167,-28.4542636871
236.749666324,714157.92328,8006091.43871,-28.2277183533
249.173582214,714154.406222,8006079.51575,-28.1539916992
260.828263344,714150.802497,8006068.42535,-28.8629779816
272.482944474,714147.198772,8006057.33494,-28.8136425018
284.758179399,714143.127725,8006045.74716,-28.618932724
297.033414324,714139.056678,8006034.15937,-28.7276706696
309.780063375,714133.102494,8006022.88077,-28.7538051605
322.526712426,714127.148309,8006011.60216,-28.3566570282
336.145646123,714123.7635,8005998.40268,-28.7288246155
349.764579821,714120.378691,8005985.2032,-28.6629676819
361.90399826,714117.665395,8005973.36392,-28.8835144043
374.0434167,714114.9521,8005961.52464,-29.2211589813
384.698829902,714116.310779,8005950.95018,-29.5468978882
395.354243104,714117.669458,8005940.37573,-29.5474529266
406.086406044,714120.072081,8005929.9098,-29.3209648132
416.818568985,714122.474704,8005919.44386,-29.2703227997
429.423883317,714116.776686,8005908.19199,-29.3762397766
442.029197649,714111.078668,8005896.94012,-29.9590301514
454.372145229,714109.181387,8005884.73687,-29.5667800903
466.71509281,714107.284106,8005872.53362,-29.5821495056
477.004555135,714107.039149,8005862.24131,-29.2128620148
487.29401746,714106.794192,8005851.94899,-29.2057132721
505.152877703,714113.796518,8005835.5093,-28.5143795013
519.670202683,714124.317572,8005825.49449,-28.2331390381
535.742245555,714138.783566,8005818.4706,-28.239112854
551.814288426,714153.24956,8005811.4467,-27.9803829193
568.250907078,714166.418132,8005801.59511,-27.6146392822
586.715565754,714176.957053,8005786.42088,-27.5460205078
602.078548253,714180.112784,8005771.37671,-27.4068317413
612.760172117,714180.427681,8005760.69374,-27.4791259766
623.441795982,714180.742579,8005750.01077,-28.0807151794
640.396224001,714182.496845,8005733.13779,-29.0875263214
659.202006188,714182.861144,8005714.32499,-28.3897361755
676.299143952,714183.599998,8005697.23423,-28.8466625214
687.144656484,714179.902998,8005687.03182,-29.3277645111
697.990169016,714176.205999,8005676.82941,-29.480014801
717.963636199,714174.574319,8005656.91147,-29.8009605408
728.334335071,714173.798833,8005646.56398,-29.9144859314
738.705033943,714173.023347,8005636.21649,-29.6320133209
756.8242238,714171.754602,8005618.13159,-29.3603172302
776.288341202,714168.455682,8005598.93801,-29.4981422424
794.373638053,714163.94504,8005581.41377,-29.0176792145
810.436056717,714176.601371,8005571.50883,-28.3345947266
828.290273534,714192.269201,8005562.9269,-27.7498054504
845.555321138,714191.43316,8005545.67242,-27.6762294769
865.521257993,714197.629312,8005526.68049,-27.130443573
882.595023502,714198.881532,8005509.64311,-26.4055404663
892.854927671,714198.893349,8005499.37746,-25.1851177216
903.114831839,714198.905166,8005489.11181,-24.0647907257
920.142940653,714199.084527,8005472.0751,-21.8160800934
940.421365336,714218.254696,8005465.42828,-19.6670036316
959.646496695,714235.930978,8005457.84083,-18.8641605377
978.861002607,714233.168285,8005438.81509,-18.5382556915
997.781608207,714232.505434,8005419.89548,-18.6149101257
1011.75295648,714230.763833,8005406.02521,-19.2790775299
1032.70146538,714237.064364,8005386.03433,-19.1999893188
1050.61824837,714240.485972,8005368.43706,-19.0515918732
1061.03787591,714239.453611,8005358.06283,-19.1579170227
1071.45750346,714238.421249,8005347.6886,-19.1368217468
1082.26762535,714237.691792,8005336.89704,-18.9621334076
1093.07774724,714236.962335,8005326.10548,-18.8833255768
1103.67740147,714237.802006,8005315.53317,-18.8251361847
1114.27705569,714238.641676,8005304.96087,-18.7650680542
1124.58518547,714236.524549,8005294.86659,-18.6789913177
1134.89331525,714234.407422,8005284.77231,-18.5894165039
1154.47725498,714234.85217,8005265.18243,-18.5831928253
1165.14287812,714235.423647,8005254.52614,-18.7555961609
1175.80850126,714235.995124,8005243.86985,-18.9395618439
1186.99206528,714233.70762,8005232.91632,-19.0237236023
1198.17562929,714231.420116,8005221.9628,-18.7712268829
1210.89671174,714229.562442,8005209.37088,-18.6845340729
1223.61779418,714227.704768,8005196.77895,-18.5311088562
1235.6311282,714224.139269,8005185.29987,-18.4125785828
1247.64446222,714220.57377,8005173.82079,-18.6134967804
1258.58446808,714217.70915,8005163.25614,-18.9247112274
1269.52447393,714214.844529,8005152.69148,-19.2635612488
1280.69966813,714214.691552,8005141.51107,-19.4626026154
1291.87486233,714214.538575,8005130.33066,-19.5976638794
1305.24022868,714211.93921,8005117.21286,-19.6476650238
