Distance (m),UTM 52 Lon,UTM 52 Lat,S2 Reflectance
0,508258.6541,7995218.29648,400
22.2897166168,508246.659196,7995199.50942,401
37.7928785058,508244.10666,7995184.21783,399
54.6386625189,508239.460033,7995168.02557,399
72.7042482667,508230.064794,7995152.59525,402
85.9417238949,508226.435874,7995139.8649,403
96.7985895437,508224.380533,7995129.20436,400
107.655455192,508222.325192,7995118.54382,402
129.652404186,508210.879584,7995099.75915,402
141.483256617,508205.660165,7995089.14187,393
153.314109047,508200.440746,7995078.52458,394
165.303511392,508194.980718,7995067.8506,385
177.292913736,508189.520691,7995057.17662,391
189.054542195,508184.576387,7995046.50471,392
200.816170654,508179.632083,7995035.83279,402
224.325750434,508166.606789,7995016.26133,405
236.749666324,508161.923487,7995004.75393,401
249.173582214,508157.240184,7994993.24652,401
260.828263344,508152.553485,7994982.5757,395
272.482944474,508147.866787,7994971.90488,400
284.758179399,508142.665885,7994960.78588,399
297.033414324,508137.464984,7994949.66689,402
309.780063375,508130.422086,7994939.04264,400
322.526712426,508123.379188,7994928.41839,398
336.145646123,508118.700468,7994915.62836,400
349.764579821,508114.021748,7994902.83833,399
361.90399826,508110.146097,7994891.33421,399
374.0434167,508106.270447,7994879.83009,401
384.698829902,508106.570077,7994869.17889,408
395.354243104,508106.869706,7994858.52769,412
406.086406044,508108.21831,7994847.88059,414
416.818568985,508109.566915,7994837.2335,419
429.423883317,508102.781433,7994826.61036,414
442.029197649,508095.995951,7994815.98721,418
454.372145229,508092.895623,7994804.03998,420
466.71509281,508089.795295,7994792.09275,419
477.004555135,508088.528201,7994781.8816,415
487.29401746,508087.261107,7994771.67046,414
505.152877703,508092.589989,7994754.62517,428
519.670202683,508102.057083,7994743.6194,427
535.742245555,508115.744765,7994735.19575,428
551.814288426,508129.432447,7994726.7721,434
568.250907078,508141.548675,7994715.66537,434
586.715565754,508150.520476,7994699.52689,435
602.078548253,508152.16277,7994684.25194,435
612.760172117,508151.413598,7994673.59662,432
623.441795982,508150.664426,7994662.9413,433
640.396224001,508150.731135,7994645.98701,434
659.202006188,508149.222654,7994627.24182,434
676.299143952,508148.257902,7994610.17193,434
697.990169016,508138.875634,7994590.61499,434
717.963636199,508135.272298,7994570.96925,435
728.334335071,508133.472127,7994560.75598,436
738.705033943,508131.671956,7994550.54272,442
756.8242238,508128.611836,7994532.68381,441
776.288341202,508123.422499,7994513.9242,436
794.373638053,508117.19413,7994496.94524,439
810.436056717,508128.795652,7994485.83641,455
828.290273534,508143.523611,7994475.74383,463
845.555321138,508140.976391,7994458.66772,467
865.521257993,508145.249777,7994439.16447,498
882.595023502,508144.800883,7994422.0966,503
892.854927671,508143.791816,7994411.88644,513
903.114831839,508142.782749,7994401.67628,511
920.142940653,508141.266986,7994384.71577,614
940.421365336,508159.670384,7994376.19934,1022
959.646496695,508176.494604,7994366.89605,2289
978.861002607,508171.855241,7994348.25004,5053
997.781608207,508169.314685,7994329.50078,5425
1011.75295648,508166.20344,7994315.88025,5584
1022.22721093,508168.342373,7994305.62672,5661
1032.70146538,508170.481307,7994295.37318,5655
1050.61824837,508172.134163,7994277.5328,5784
1061.03787591,508170.075891,7994267.31849,5817
1071.45750346,508168.01762,7994257.10418,5769
1082.26762535,508166.219083,7994246.44472,5762
1093.07774724,508164.420546,7994235.78527,5652
1103.67740147,508164.204279,7994225.18782,5558
1114.27705569,508163.988012,7994214.59037,5663
1134.89331525,508157.769594,7994194.93429,5871
1154.47725498,508156.263887,7994175.40832,6102
1165.14287812,508155.772559,7994164.75402,6205
1175.80850126,508155.281231,7994154.09972,6118
1186.99206528,508151.917146,7994143.43412,6033
1198.17562929,508148.553062,7994132.76852,5966
1210.89671174,508145.453516,7994120.43082,6014
1223.61779418,508142.353969,7994108.09313,6230
1235.6311282,508137.666686,7994097.03195,6284
1247.64446222,508132.979402,7994085.97078,6219
1258.58446808,508129.080059,7994075.74929,5824
1269.52447393,508125.180715,7994065.5278,5874
1280.69966813,508123.916819,7994054.42431,6017
1291.87486233,508122.652924,7994043.32082,6160
1305.24022868,508118.763494,7994030.5339,5944
1318.60559502,508114.874064,7994017.74698,5907
1332.82360966,508107.834601,7994005.39392,5866
1347.04162429,508100.795138,7993993.04087,5878
1359.62745666,508094.799908,7993981.97469,5894
1372.21328904,508088.804679,7993970.90851,5928
1384.73056806,508087.012219,7993958.52023,5869
1397.24784708,508085.21976,7993946.13195,5966
