Distance (m),UTM 51 Lon,UTM 51 Lat,S1 Backscatter
0,615948.155507,8034961.92205,-18.1559925079
10.8918690367,615958.250045,8034957.82929,-17.3181343079
21.7837380734,615968.344582,8034953.73654,-17.1242389679
32.6756071101,615978.43912,8034949.64378,-17.1173858643
43.5674761467,615988.533657,8034945.55102,-17.8911743164
54.4593451834,615998.628195,8034941.45826,-18.4613876343
65.3512142201,616008.722732,8034937.3655,-19.7194042206
76.2430832568,616018.81727,8034933.27274,-19.3761291504
87.1349522935,616028.911807,8034929.17999,-18.8644695282
98.0268213302,616039.006345,8034925.08723,-18.2388458252
108.918690367,616049.100882,8034920.99447,-17.9400119781
119.810559404,616059.19542,8034916.90171,-18.0750541687
130.70242844,616069.289957,8034912.80895,-18.2680454254
141.594297477,616079.384495,8034908.7162,-17.3973140717
152.486166514,616089.479032,8034904.62344,-15.6555242538
163.37803555,616099.57357,8034900.53068,-15.1666345596
174.269904587,616109.668108,8034896.43792,-16.6747550964
185.161773624,616119.762645,8034892.34516,-17.9292793274
196.05364266,616129.857183,8034888.2524,-19.1209144592
206.945511697,616139.95172,8034884.15965,-19.4287643433
217.837380734,616150.046258,8034880.06689,-18.3577270508
228.72924977,616160.140795,8034875.97413,-16.3889274597
239.621118807,616170.235333,8034871.88137,-15.7865619659
250.512987844,616180.32987,8034867.78861,-16.496673584
261.40485688,616190.424408,8034863.69586,-16.4448719025
272.296725917,616200.518945,8034859.6031,-16.0105457306
283.188594954,616210.613483,8034855.51034,-15.8827590942
294.08046399,616220.70802,8034851.41758,-16.3918972015
304.972333027,616230.802558,8034847.32482,-18.3641967773
315.864202064,616240.897095,8034843.23206,-19.914352417
326.756071101,616250.991633,8034839.13931,-21.2329826355
337.647940137,616261.08617,8034835.04655,-21.4369297028
348.539809174,616271.180708,8034830.95379,-20.8916740417
359.431678211,616281.275246,8034826.86103,-19.0407238007
370.323547247,616291.369783,8034822.76827,-19.2167034149
381.215416284,616301.464321,8034818.67552,-20.3937129974
392.107285321,616311.558858,8034814.58276,-20.3005237579
402.999154357,616321.653396,8034810.49,-20.2870979309
413.891023394,616331.747933,8034806.39724,-18.5175189972
424.782892431,616341.842471,8034802.30448,-18.5890846252
435.674761467,616351.937008,8034798.21173,-18.9458332062
446.566630504,616362.031546,8034794.11897,-21.1481533051
457.458499541,616372.126083,8034790.02621,-22.4412612915
468.350368577,616382.220621,8034785.93345,-21.53490448
479.242237614,616392.315158,8034781.84069,-20.7526111603
490.134106651,616402.409696,8034777.74793,-19.3522186279
501.025975687,616412.504233,8034773.65518,-19.1991252899
511.917844724,616422.598771,8034769.56242,-19.2859191895
522.809713761,616432.693309,8034765.46966,-19.564950943
533.701582797,616442.787846,8034761.3769,-19.9948215485
544.593451834,616452.882384,8034757.28414,-21.8942527771
555.485320871,616462.976921,8034753.19139,-22.9342918396
566.377189908,616473.071459,8034749.09863,-24.9149265289
577.269058944,616483.165996,8034745.00587,-27.0473918915
588.160927981,616493.260534,8034740.91311,-28.0458068848
599.052797018,616503.355071,8034736.82035,-28.6602363586
