Distance (m),UTM 51 Lon,UTM 51 Lat,S1 Backscatter
0,713744.278876,8004918.91869,-19.9158535004
23.8621087465,713725.81793,8004934.05902,-19.9036750793
34.7034114104,713715.449797,8004937.24757,-19.9482860565
45.5447140744,713705.081663,8004940.43613,-19.4563350677
57.6535742217,713694.443121,8004946.23351,-19.4129905701
69.7624343691,713683.804578,8004952.03088,-19.3531074524
80.7901698916,713672.829519,8004950.89301,-19.367559433
91.817905414,713661.85446,8004949.75514,-19.5761108398
104.374048382,713649.654506,8004952.7541,-19.983291626
116.93019135,713637.454552,8004955.75306,-20.2907905579
129.773915605,713626.689733,8004962.77189,-20.1450634003
142.617639861,713615.924914,8004969.79072,-19.9197177887
155.660629017,713603.211519,8004972.73672,-19.9075756073
168.703618174,713590.498123,8004975.68271,-19.8666439056
182.762745886,713577.964717,8004982.06967,-19.6873016357
196.821873599,713565.431311,8004988.45663,-19.6925010681
212.531876757,713551.915075,8004996.48101,-20.0004577637
228.241879915,713538.398839,8005004.50539,-20.0386505127
240.757442708,713525.904325,8005005.34267,-19.8553466797
253.2730055,713513.409811,8005006.17995,-19.6610393524
267.333043871,713499.481871,8005008.1592,-19.7805213928
281.393082241,713485.55393,8005010.13845,-19.6752567291
292.751110139,713474.190141,8005010.25165,-19.6908054352
304.109138036,713462.826351,8005010.36485,-19.6343154907
316.641576002,713450.314832,8005011.20081,-19.3147583008
329.174013967,713437.803313,8005012.03677,-19.3059597015
342.848905347,713426.924439,8005020.33502,-19.8105716705
356.523796727,713416.045565,8005028.63328,-20.043586731
369.970429292,713403.622408,8005033.79839,-20.4768772125
383.417061856,713391.199251,8005038.96351,-21.550775528
395.932334468,713378.705098,8005039.80167,-21.7307834625
408.44760708,713366.210944,8005040.63984,-21.6103000641
420.020751828,713355.056483,8005043.74866,-21.3243045807
431.593896576,713343.902022,8005046.85747,-21.2499275208
443.427616066,713332.485079,8005049.99533,-22.1187324524
455.261335555,713321.068136,8005053.13319,-22.3119621277
467.251238365,713309.104888,8005054.02671,-22.2429027557
479.241141174,713297.14164,8005054.92023,-22.6211242676
497.985063603,713280.413409,8005063.39913,-24.1410636902
509.2700285,713269.182153,8005062.23682,-24.7230548859
520.554993397,713257.950898,8005061.07452,-25.1412773132
539.994033468,713238.604358,8005059.07257,-25.2356510162
558.544747589,713220.055121,8005059.73389,-24.7404441833
576.039744672,713202.567406,8005060.5052,-24.5968151093
595.398153542,713186.169559,8005070.81418,-25.4602928162
